rate,trial,pop_idx,pop_name,fs,n_samples,freq_resolution_hz,f0_hz,f0_power,flow_hz,flow_power,flow_over_f0
05.51,2,0,L23E,1000.0,300000,0.244140625,82.51953125,0.003027736650925844,36.62109375,0.01210348161207881,0.4437869822485207
05.51,2,1,L23I,1000.0,300000,0.244140625,78.369140625,0.004601556814619857,39.794921875,0.014802662700543092,0.5077881619937694
05.51,2,2,L4E,1000.0,300000,0.244140625,81.54296875,0.021866924146486277,38.0859375,0.0844719069560211,0.46706586826347307
05.51,2,3,L4I,1000.0,300000,0.244140625,77.63671875,0.009364090211560636,37.59765625,0.030912012385743926,0.48427672955974843
05.51,2,4,L5E,1000.0,300000,0.244140625,83.251953125,0.008792156353964959,41.748046875,0.03792070060484403,0.501466275659824
05.51,2,5,L5I,1000.0,300000,0.244140625,78.369140625,0.002722943790861692,38.57421875,0.008779740851290558,0.49221183800623053
05.51,2,6,L6E,1000.0,300000,0.244140625,80.322265625,0.007911782371150046,41.9921875,0.029034267225635145,0.5227963525835866
05.51,2,7,L6I,1000.0,300000,0.244140625,82.51953125,0.006105861050121077,38.818359375,0.022718998855245025,0.47041420118343197
05.51,3,0,L23E,1000.0,300000,0.244140625,77.392578125,0.0025113660783075364,39.0625,0.007974406001549444,0.5047318611987381
05.51,3,1,L23I,1000.0,300000,0.244140625,80.56640625,0.0031112487535372747,42.724609375,0.011817075799576105,0.5303030303030303
05.51,3,2,L4E,1000.0,300000,0.244140625,77.392578125,0.0209600677363107,39.55078125,0.06294632674154307,0.5110410094637224
05.51,3,3,L4I,1000.0,300000,0.244140625,76.904296875,0.008747858126057158,35.64453125,0.026432853964161736,0.4634920634920635
05.51,3,4,L5E,1000.0,300000,0.244140625,76.416015625,0.013116046015938373,39.0625,0.0400768042420725,0.5111821086261981
05.51,3,5,L5I,1000.0,300000,0.244140625,80.078125,0.0021954639936391154,38.818359375,0.007182167376078729,0.4847560975609756
05.51,3,6,L6E,1000.0,300000,0.244140625,77.63671875,0.009798367768722524,38.0859375,0.03477715050929553,0.49056603773584906
05.51,3,7,L6I,1000.0,300000,0.244140625,79.833984375,0.005693257908158232,42.48046875,0.019694097640863398,0.5321100917431193
05.51,4,0,L23E,1000.0,300000,0.244140625,78.125,0.002343414906940176,42.236328125,0.0060416661379559325,0.540625
05.51,4,1,L23I,1000.0,300000,0.244140625,83.740234375,0.0026286652189807095,39.794921875,0.011348572138531535,0.4752186588921283
05.51,4,2,L4E,1000.0,300000,0.244140625,79.345703125,0.020553642725127892,38.818359375,0.06634594067329615,0.48923076923076925
05.51,4,3,L4I,1000.0,300000,0.244140625,76.904296875,0.008720368059694686,39.0625,0.026918488738156318,0.5079365079365079
05.51,4,4,L5E,1000.0,300000,0.244140625,75.68359375,0.013723598182615862,39.0625,0.041702140983709765,0.5161290322580645
05.51,4,5,L5I,1000.0,300000,0.244140625,76.171875,0.0022785870030124396,37.841796875,0.007712016302628886,0.4967948717948718
05.51,4,6,L6E,1000.0,300000,0.244140625,76.416015625,0.012247472897134655,38.818359375,0.03313020589386242,0.5079872204472844
05.51,4,7,L6I,1000.0,300000,0.244140625,80.56640625,0.00605088138834793,42.96875,0.02070262855282573,0.5333333333333333
05.51,5,0,L23E,1000.0,300000,0.244140625,76.66015625,0.0014620381528796856,36.62109375,0.004907830981131387,0.47770700636942676
05.51,5,1,L23I,1000.0,300000,0.244140625,76.904296875,0.0030230847880589433,39.55078125,0.009425626555281365,0.5142857142857142
05.51,5,2,L4E,1000.0,300000,0.244140625,80.810546875,0.015749318230728383,40.283203125,0.051634467842290525,0.4984894259818731
